loss,categorical_accuracy,val_loss,val_categorical_accuracy
4.646845415795251,0.08522649854421616,4.167639851570129,0.10360401123762131
3.8958735842376235,0.13114425539970398,3.6848298140934537,0.1629728078842163
3.5465145729991314,0.1810983568429947,3.4054136787142073,0.20516836643218994
3.318833874025793,0.21588894724845886,3.2474622385842458,0.23064595460891724
3.1696860253729064,0.23572058975696564,3.0979019744055614,0.24989528954029083
3.0220218252112008,0.2577340304851532,2.9929791518620084,0.26577553153038025
2.926754771333945,0.2711566388607025,2.893227764538356,0.28120049834251404
2.832420074632279,0.28680193424224854,2.7857109137943814,0.29899290204048157
2.760751775777955,0.298910915851593,2.737208604812622,0.3041467070579529
2.694934412387966,0.31106990575790405,2.654904706137521,0.3211560547351837
2.6395726836632267,0.3216879963874817,2.6187699011393955,0.32485294342041016
2.5779051481488087,0.33229243755340576,2.5767533438546315,0.3349784314632416
2.540401752306697,0.33935147523880005,2.518036961555481,0.34468504786491394
2.4900603563848125,0.34992408752441406,2.480803370475769,0.35548433661460876
2.4782072258808823,0.34980592131614685,2.4586383274623325,0.3535175025463104
2.4442869552145146,0.3597967326641083,2.4321680750165666,0.3666660487651825
2.3988386821580368,0.36724212765693665,2.432792808328356,0.36451712250709534
2.37443911334716,0.3722648024559021,2.3618850452559337,0.3794139623641968
2.3441181405152123,0.37890565395355225,2.3546010426112582,0.3789040446281433
2.3261990118832583,0.3813965320587158,2.3745623997279575,0.375771701335907
