loss,categorical_accuracy,val_loss,val_categorical_accuracy
4.455940179760414,0.09121280908584595,3.9779102972575595,0.12356358766555786
3.8037922351533995,0.13669875264167786,3.5680875948497226,0.16845440864562988
3.599217982616465,0.16620758175849915,3.415038926260812,0.1930578500032425
3.209257731551386,0.22001618146896362,3.053872721535819,0.24712717533111572
3.0249658456924906,0.24871592223644257,3.0713020052228654,0.23217570781707764
2.807581371182148,0.2845337688922882,2.681793911116464,0.30897268652915955
3.0797175532933743,0.2537386119365692,3.051153302192688,0.24985885620117188
2.8296311878433884,0.2842610478401184,3.1842537096568515,0.2252189964056015
2.6722532439850237,0.30945172905921936,2.485177057129996,0.34938356280326843
2.439163324229311,0.3532649576663971,2.447911194392613,0.35293474793434143
2.3502110029796888,0.3716239035129547,2.3501189606530324,0.372584730386734
2.9656810074812445,0.27509748935699463,2.4821142639432634,0.3462512195110321
2.3811080074703908,0.3660603165626526,2.3174621718270436,0.3793957531452179
2.2519898931476923,0.39300552010536194,2.2147281425339833,0.4015406668186188
2.1910039991295607,0.40297815203666687,2.1844753452709744,0.40882518887519836
2.1425229055266106,0.4135144352912903,2.0958413992609297,0.42741891741752625
2.0845393759622515,0.426782488822937,2.100408775465829,0.42465078830718994
2.0483412062629465,0.4337415099143982,2.054864866392953,0.4364517033100128
2.7610869117154246,0.3365696668624878,2.9926283870424544,0.2613137662410736
2.4740492505189122,0.3502831757068634,2.282195602144514,0.38835570216178894
